# time nusers response_time n_servers global_load_avg global_mem_util avg_num_apps_per_server
   1480.0 296    16.117 5    0.4402    0.4694 38
   1490.0 298    17.512 5    0.4574    0.4698 38
   1500.0 300    15.389 5    0.4574    0.4707 38
   1510.0 302    16.827 5    0.5138    0.4570 29
   1520.0 304    15.933 5    0.4951    0.4542 30
   1530.0 306    15.744 5    0.4852    0.4665 33
   1540.0 308    15.434 5    0.4803    0.4686 34
   1550.0 310    16.476 5    0.4861    0.4729 34
   1560.0 312    17.690 5    0.4861    0.4758 34
   1570.0 314    15.101 5    0.4661    0.4771 34
   1580.0 316    15.628 5    0.4874    0.4819 34
   1590.0 318    15.069 5    0.4822    0.4862 34
   1600.0 320    15.479 5    0.4858    0.4885 34
   1610.0 322    15.880 5    0.4887    0.4863 34
   1620.0 324    16.917 5    0.4887    0.4906 34
   1630.0 326    15.767 5    0.5206    0.4898 32
   1640.0 328    15.271 5    0.5075    0.4844 32
   1650.0 330    14.516 5    0.4950    0.4820 30
   1660.0 332    15.737 5    0.5043    0.4924 32
   1670.0 334    14.048 5    0.4954    0.4978 32
   1680.0 336    15.622 5    0.4954    0.4998 32
   1690.0 338    14.903 5    0.4889    0.5007 32
   1700.0 340    14.720 5    0.4795    0.5034 31
   1710.0 342    15.796 5    0.4946    0.5028 31
   1720.0 344    14.280 5    0.4917    0.5094 31
   1730.0 346    14.536 5    0.4912    0.5103 31
   1740.0 348    16.039 5    0.4912    0.5094 31
   1750.0 350    15.593 5    0.5088    0.5110 31
   1760.0 352    15.513 5    0.5193    0.5139 31
   1770.0 354    16.696 5    0.5448    0.5163 31
   1780.0 356    15.267 5    0.5436    0.5176 32
   1790.0 358    14.625 5    0.5357    0.5239 32
   1800.0 360    15.189 5    0.5357    0.5268 32
   1810.0 362    17.028 5    0.6197    0.5218 30
   1820.0 364    15.620 5    0.5849    0.5277 30
   1830.0 366    15.046 5    0.5658    0.5276 30
   1840.0 368    16.122 5    0.5748    0.5383 32
   1850.0 370    16.689 5    0.5786    0.5438 32
   1860.0 372    15.988 5    0.5786    0.5427 32
   1870.0 374    15.910 5    0.6006    0.5478 32
   1880.0 376    17.174 5    0.6311    0.5468 32
   1890.0 378    14.821 5    0.6020    0.5488 34
   1900.0 380    16.819 5    0.6080    0.5590 33
   1910.0 382    15.274 5    0.6033    0.5592 34
   1920.0 384    16.268 5    0.6033    0.5610 34
   1930.0 386    16.619 5    0.6209    0.5637 33
   1940.0 388    16.084 5    0.6165    0.5743 36
   1950.0 390    16.404 5    0.6147    0.5749 36
   1960.0 392    15.354 5    0.6113    0.5754 35
   1970.0 394    15.806 5    0.6067    0.5905 38
   1980.0 396    15.924 5    0.6067    0.5924 38
   1990.0 398    15.662 5    0.6026    0.5916 39
   2000.0 400    16.222 5    0.6105    0.5991 40
   2010.0 402    17.212 5    0.6334    0.6037 40
   2020.0 404    17.440 5    0.6542    0.6029 40
   2030.0 406    16.510 5    0.6570    0.6054 40
   2040.0 408    18.977 5    0.6570    0.6087 40
   2050.0 410    15.932 5    0.6481    0.6123 40
   2060.0 412    16.748 5    0.6619    0.6104 40
   2070.0 414    17.244 5    0.6785    0.6124 40
   2080.0 416    18.613 5    0.7041    0.6193 39
   2090.0 418    16.585 5    0.6965    0.6161 38
   2100.0 420    18.285 5    0.6965    0.6194 38
   2110.0 422    17.761 5    0.7497    0.6167 36
   2120.0 424    17.382 5    0.7390    0.6181 36
   2130.0 426    18.224 5    0.7505    0.6195 35
   2140.0 428    17.142 5    0.7436    0.6187 35
   2150.0 430    15.601 5    0.7265    0.6179 35
   2160.0 432    16.450 5    0.7265    0.6160 35
   2170.0 434    18.672 5    0.7927    0.6238 34
   2180.0 436    18.320 5    0.7845    0.6308 37
   2190.0 438    17.976 5    0.7863    0.6380 38
   2200.0 440    16.419 5    0.7778    0.6411 38
   2210.0 442    17.460 5    0.7755    0.6438 38
   2220.0 444    18.844 5    0.7755    0.6482 38
   2230.0 446    17.907 5    0.7409    0.6498 38
   2240.0 448    17.997 5    0.7680    0.6523 38
   2250.0 450    17.929 5    0.7786    0.6549 38
   2260.0 452    16.680 5    0.7749    0.6579 38
   2270.0 454    16.978 5    0.7677    0.6606 38
   2280.0 456    18.386 5    0.7677    0.6587 38
   2290.0 458    17.891 5    0.7986    0.6598 38
   2300.0 460    17.295 5    0.7929    0.6652 38
   2310.0 462    16.755 5    0.7658    0.6704 39
   2320.0 464    19.072 5    0.7902    0.6714 38
   2330.0 466    18.011 5    0.8007    0.6809 41
   2340.0 468    19.381 5    0.8007    0.6890 43
   2350.0 470    19.695 5    0.9040    0.6944 43
   2360.0 472    18.082 5    0.8470    0.6931 43
   2370.0 474    18.017 5    0.8428    0.6957 43
   2380.0 476    16.878 5    0.8277    0.7018 43
   2390.0 478    19.553 5    0.8444    0.6983 43
   2400.0 480    17.837 5    0.8416    0.7080 43
   2410.0 482    18.689 9    0.4719    0.4366 43
   2420.0 484    20.312 9    0.4861    0.4536 43
   2430.0 486    18.956 9    0.4890    0.4549 43
   2440.0 488    18.941 9    0.4912    0.4555 43
   2450.0 490    17.571 9    0.4901    0.4584 43
   2460.0 492    18.144 9    0.4901    0.4583 43
   2470.0 494    17.671 9    0.4688    0.4582 43
